,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,Time,Week,DayName
0,2018/02/12 00:00,N,EB1,main,edu,9.0,2018-02-12,1,00:00,7,Monday
1,2018/02/12 01:00,N,EB1,main,edu,9.25,2018-02-12,1,01:00,7,Monday
2,2018/02/12 02:00,N,EB1,main,edu,9.63,2018-02-12,1,02:00,7,Monday
3,2018/02/12 03:00,N,EB1,main,edu,10.0,2018-02-12,1,03:00,7,Monday
4,2018/02/12 04:00,N,EB1,main,edu,9.0,2018-02-12,1,04:00,7,Monday
5,2018/02/12 05:00,N,EB1,main,edu,9.75,2018-02-12,1,05:00,7,Monday
6,2018/02/12 06:00,N,EB1,main,edu,9.13,2018-02-12,1,06:00,7,Monday
7,2018/02/12 07:00,N,EB1,main,edu,9.88,2018-02-12,1,07:00,7,Monday
8,2018/02/12 08:00,N,EB1,main,edu,13.5,2018-02-12,1,08:00,7,Monday
9,2018/02/12 09:00,N,EB1,main,edu,20.5,2018-02-12,1,09:00,7,Monday
10,2018/02/12 10:00,N,EB1,main,edu,23.63,2018-02-12,1,10:00,7,Monday
11,2018/02/12 11:00,N,EB1,main,edu,26.13,2018-02-12,1,11:00,7,Monday
12,2018/02/12 12:00,N,EB1,main,edu,23.13,2018-02-12,1,12:00,7,Monday
13,2018/02/12 13:00,N,EB1,main,edu,26.38,2018-02-12,1,13:00,7,Monday
14,2018/02/12 14:00,N,EB1,main,edu,31.5,2018-02-12,1,14:00,7,Monday
15,2018/02/12 15:00,N,EB1,main,edu,30.0,2018-02-12,1,15:00,7,Monday
16,2018/02/12 16:00,N,EB1,main,edu,26.25,2018-02-12,1,16:00,7,Monday
17,2018/02/12 17:00,N,EB1,main,edu,23.75,2018-02-12,1,17:00,7,Monday
18,2018/02/12 18:00,N,EB1,main,edu,17.63,2018-02-12,1,18:00,7,Monday
19,2018/02/12 19:00,N,EB1,main,edu,16.25,2018-02-12,1,19:00,7,Monday
20,2018/02/12 20:00,N,EB1,main,edu,16.38,2018-02-12,1,20:00,7,Monday
21,2018/02/12 21:00,N,EB1,main,edu,14.63,2018-02-12,1,21:00,7,Monday
22,2018/02/12 22:00,N,EB1,main,edu,10.13,2018-02-12,1,22:00,7,Monday
23,2018/02/12 23:00,N,EB1,main,edu,9.5,2018-02-12,1,23:00,7,Monday
24,2018/02/13 00:00,N,EB1,main,edu,9.75,2018-02-13,2,00:00,7,Tuesday
25,2018/02/13 01:00,N,EB1,main,edu,8.5,2018-02-13,2,01:00,7,Tuesday
26,2018/02/13 02:00,N,EB1,main,edu,9.25,2018-02-13,2,02:00,7,Tuesday
27,2018/02/13 03:00,N,EB1,main,edu,9.5,2018-02-13,2,03:00,7,Tuesday
28,2018/02/13 04:00,N,EB1,main,edu,8.75,2018-02-13,2,04:00,7,Tuesday
29,2018/02/13 05:00,N,EB1,main,edu,9.25,2018-02-13,2,05:00,7,Tuesday
30,2018/02/13 06:00,N,EB1,main,edu,8.88,2018-02-13,2,06:00,7,Tuesday
31,2018/02/13 07:00,N,EB1,main,edu,9.63,2018-02-13,2,07:00,7,Tuesday
32,2018/02/13 08:00,N,EB1,main,edu,16.25,2018-02-13,2,08:00,7,Tuesday
33,2018/02/13 09:00,N,EB1,main,edu,21.38,2018-02-13,2,09:00,7,Tuesday
34,2018/02/13 10:00,N,EB1,main,edu,21.25,2018-02-13,2,10:00,7,Tuesday
35,2018/02/13 11:00,N,EB1,main,edu,22.75,2018-02-13,2,11:00,7,Tuesday
36,2018/02/13 12:00,N,EB1,main,edu,19.88,2018-02-13,2,12:00,7,Tuesday
37,2018/02/13 13:00,N,EB1,main,edu,20.5,2018-02-13,2,13:00,7,Tuesday
38,2018/02/13 14:00,N,EB1,main,edu,21.38,2018-02-13,2,14:00,7,Tuesday
39,2018/02/13 15:00,N,EB1,main,edu,21.75,2018-02-13,2,15:00,7,Tuesday
40,2018/02/13 16:00,N,EB1,main,edu,19.88,2018-02-13,2,16:00,7,Tuesday
41,2018/02/13 17:00,N,EB1,main,edu,17.75,2018-02-13,2,17:00,7,Tuesday
42,2018/02/13 18:00,N,EB1,main,edu,15.38,2018-02-13,2,18:00,7,Tuesday
43,2018/02/13 19:00,N,EB1,main,edu,13.88,2018-02-13,2,19:00,7,Tuesday
44,2018/02/13 20:00,N,EB1,main,edu,10.63,2018-02-13,2,20:00,7,Tuesday
45,2018/02/13 21:00,N,EB1,main,edu,13.0,2018-02-13,2,21:00,7,Tuesday
46,2018/02/13 22:00,N,EB1,main,edu,8.75,2018-02-13,2,22:00,7,Tuesday
47,2018/02/13 23:00,N,EB1,main,edu,8.38,2018-02-13,2,23:00,7,Tuesday
48,2018/02/14 00:00,N,EB1,main,edu,8.25,2018-02-14,3,00:00,7,Wednesday
49,2018/02/14 01:00,N,EB1,main,edu,8.63,2018-02-14,3,01:00,7,Wednesday
50,2018/02/14 02:00,N,EB1,main,edu,8.38,2018-02-14,3,02:00,7,Wednesday
51,2018/02/14 03:00,N,EB1,main,edu,8.25,2018-02-14,3,03:00,7,Wednesday
52,2018/02/14 04:00,N,EB1,main,edu,8.0,2018-02-14,3,04:00,7,Wednesday
53,2018/02/14 05:00,N,EB1,main,edu,8.13,2018-02-14,3,05:00,7,Wednesday
54,2018/02/14 06:00,N,EB1,main,edu,8.38,2018-02-14,3,06:00,7,Wednesday
55,2018/02/14 07:00,N,EB1,main,edu,8.13,2018-02-14,3,07:00,7,Wednesday
56,2018/02/14 08:00,N,EB1,main,edu,8.25,2018-02-14,3,08:00,7,Wednesday
57,2018/02/14 09:00,N,EB1,main,edu,8.25,2018-02-14,3,09:00,7,Wednesday
58,2018/02/14 10:00,N,EB1,main,edu,8.63,2018-02-14,3,10:00,7,Wednesday
59,2018/02/14 11:00,N,EB1,main,edu,9.5,2018-02-14,3,11:00,7,Wednesday
60,2018/02/14 12:00,N,EB1,main,edu,9.5,2018-02-14,3,12:00,7,Wednesday
61,2018/02/14 13:00,N,EB1,main,edu,9.38,2018-02-14,3,13:00,7,Wednesday
62,2018/02/14 14:00,N,EB1,main,edu,9.63,2018-02-14,3,14:00,7,Wednesday
63,2018/02/14 15:00,N,EB1,main,edu,9.38,2018-02-14,3,15:00,7,Wednesday
64,2018/02/14 16:00,N,EB1,main,edu,9.38,2018-02-14,3,16:00,7,Wednesday
65,2018/02/14 17:00,N,EB1,main,edu,9.75,2018-02-14,3,17:00,7,Wednesday
66,2018/02/14 18:00,N,EB1,main,edu,10.75,2018-02-14,3,18:00,7,Wednesday
67,2018/02/14 19:00,N,EB1,main,edu,10.25,2018-02-14,3,19:00,7,Wednesday
68,2018/02/14 20:00,N,EB1,main,edu,9.13,2018-02-14,3,20:00,7,Wednesday
69,2018/02/14 21:00,N,EB1,main,edu,9.75,2018-02-14,3,21:00,7,Wednesday
70,2018/02/14 22:00,N,EB1,main,edu,9.25,2018-02-14,3,22:00,7,Wednesday
71,2018/02/14 23:00,N,EB1,main,edu,9.13,2018-02-14,3,23:00,7,Wednesday
72,2018/02/15 00:00,N,EB1,main,edu,9.13,2018-02-15,4,00:00,7,Thursday
73,2018/02/15 01:00,N,EB1,main,edu,9.0,2018-02-15,4,01:00,7,Thursday
74,2018/02/15 02:00,N,EB1,main,edu,9.13,2018-02-15,4,02:00,7,Thursday
75,2018/02/15 03:00,N,EB1,main,edu,9.0,2018-02-15,4,03:00,7,Thursday
76,2018/02/15 04:00,N,EB1,main,edu,9.13,2018-02-15,4,04:00,7,Thursday
77,2018/02/15 05:00,N,EB1,main,edu,8.5,2018-02-15,4,05:00,7,Thursday
78,2018/02/15 06:00,N,EB1,main,edu,8.13,2018-02-15,4,06:00,7,Thursday
79,2018/02/15 07:00,N,EB1,main,edu,8.25,2018-02-15,4,07:00,7,Thursday
80,2018/02/15 08:00,N,EB1,main,edu,8.75,2018-02-15,4,08:00,7,Thursday
