時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2018/02/12 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.00
2018/02/12 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.25
2018/02/12 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.63
2018/02/12 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,10.00
2018/02/12 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.00
2018/02/12 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.75
2018/02/12 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.13
2018/02/12 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.88
2018/02/12 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,13.50
2018/02/12 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.50
2018/02/12 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,23.63
2018/02/12 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.13
2018/02/12 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,23.13
2018/02/12 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.38
2018/02/12 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,31.50
2018/02/12 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,30.00
2018/02/12 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.25
2018/02/12 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,23.75
2018/02/12 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,17.63
2018/02/12 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.25
2018/02/12 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.38
2018/02/12 21:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,14.63
2018/02/12 22:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,10.13
2018/02/12 23:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.50
2018/02/13 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.75
2018/02/13 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.50
2018/02/13 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.25
2018/02/13 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.50
2018/02/13 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.75
2018/02/13 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.25
2018/02/13 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.88
2018/02/13 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.63
2018/02/13 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.25
2018/02/13 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.38
2018/02/13 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.25
2018/02/13 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,22.75
2018/02/13 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,19.88
2018/02/13 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.50
2018/02/13 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.38
2018/02/13 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.75
2018/02/13 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,19.88
2018/02/13 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,17.75
2018/02/13 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.38
2018/02/13 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,13.88
2018/02/13 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,10.63
2018/02/13 21:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,13.00
2018/02/13 22:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.75
2018/02/13 23:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.38
2018/02/14 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.25
2018/02/14 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.63
2018/02/14 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.38
2018/02/14 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.25
2018/02/14 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.00
2018/02/14 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.13
2018/02/14 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.38
2018/02/14 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.13
2018/02/14 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.25
2018/02/14 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.25
2018/02/14 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,8.63
2018/02/14 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.50
2018/02/14 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.50
2018/02/14 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.38
2018/02/14 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.63
2018/02/14 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.38
2018/02/14 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.38
2018/02/14 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.75
2018/02/14 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,10.75
2018/02/14 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,10.25
2018/02/14 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,9.13
