,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,Time,Week,Cost(2.8)
0,2017/07/30 00:00,S,D12,main,dorm,35.5,2017-07-30,7,00:00,30,99.39999999999999
1,2017/07/30 01:00,S,D12,main,dorm,35.5,2017-07-30,7,01:00,30,99.39999999999999
2,2017/07/30 02:00,S,D12,main,dorm,33.5,2017-07-30,7,02:00,30,93.8
3,2017/07/30 03:00,S,D12,main,dorm,34.0,2017-07-30,7,03:00,30,95.19999999999999
4,2017/07/30 04:00,S,D12,main,dorm,32.5,2017-07-30,7,04:00,30,91.0
5,2017/07/30 05:00,S,D12,main,dorm,31.0,2017-07-30,7,05:00,30,86.8
6,2017/07/30 06:00,S,D12,main,dorm,48.0,2017-07-30,7,06:00,30,134.39999999999998
7,2017/07/30 07:00,S,D12,main,dorm,47.0,2017-07-30,7,07:00,30,131.6
8,2017/07/30 08:00,S,D12,main,dorm,46.0,2017-07-30,7,08:00,30,128.79999999999998
9,2017/07/30 09:00,S,D12,main,dorm,24.0,2017-07-30,7,09:00,30,67.19999999999999
10,2017/07/30 10:00,S,D12,main,dorm,24.0,2017-07-30,7,10:00,30,67.19999999999999
11,2017/07/30 11:00,S,D12,main,dorm,28.0,2017-07-30,7,11:00,30,78.39999999999999
12,2017/07/30 12:00,S,D12,main,dorm,28.0,2017-07-30,7,12:00,30,78.39999999999999
13,2017/07/30 13:00,S,D12,main,dorm,33.0,2017-07-30,7,13:00,30,92.39999999999999
14,2017/07/30 14:00,S,D12,main,dorm,38.5,2017-07-30,7,14:00,30,107.8
15,2017/07/30 15:00,S,D12,main,dorm,34.5,2017-07-30,7,15:00,30,96.6
16,2017/07/30 16:00,S,D12,main,dorm,41.0,2017-07-30,7,16:00,30,114.8
17,2017/07/30 17:00,S,D12,main,dorm,36.5,2017-07-30,7,17:00,30,102.19999999999999
18,2017/07/30 18:00,S,D12,main,dorm,32.5,2017-07-30,7,18:00,30,91.0
19,2017/07/30 19:00,S,D12,main,dorm,40.0,2017-07-30,7,19:00,30,112.0
20,2017/07/30 20:00,S,D12,main,dorm,45.0,2017-07-30,7,20:00,30,125.99999999999999
