北區受電室,錶號,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,平均
北區總電錶,數位式,"1,732,800","1,410,400","1,321,600","1,742,400","1,704,000","2,395,200","2,027,200","2,301,600","2,419,200","2,198,400","2,043,200","1,774,400","23,070,400","1,922,533"
行政大樓,數位式,125,173,404,521,"5,176","10,510","13,276","2,832","39,814","19,558","15,522","13,105","121,016","10,085"
資訊館,數位式,0,101,0,0,0,"43,393",0,0,0,0,0,0,"43,494","3,625"
中正堂,數位式,"28,747","16,317","18,102","24,271","23,209","45,264","50,444","53,621","43,793","45,342","32,812","26,200","408,122","34,010"
活動中心,數位式,"63,727","42,707","44,571","54,111","55,982","88,505","81,343","99,884","75,301","81,621","69,299","59,574","816,625","68,052"
電資大樓,數位式,"181,882","142,621","134,771","175,464","196,791","272,748","275,353","321,374","286,187","268,089","257,945","205,248","2,718,473","226,539"
體育館,數位式,"36,771","24,206","32,320","34,788","32,001","39,056","33,865","40,048","37,441","44,824","40,874","35,330","431,524","35,960"
田家炳大樓,數位式,"302,900","242,706","236,231","305,318","295,226","385,517","367,298","449,363","390,733","371,786","353,866","317,123","4,018,067","334,839"
污水場,數位式,"1,202",748,453,"1,283","1,345","3,627","3,242","13,589","13,251","13,571","15,504","15,418","83,233","6,936"
人社一館,數位式,"21,832","16,496","16,998","21,115","22,709","32,657","32,923","27,624","24,813","29,835","24,794","18,717","290,513","24,209"
人社二館/新生館,數位式,"19,979","15,625","15,791","20,228","19,329","25,063","25,653","28,375","22,629","25,909","22,407","17,964","258,952","21,579"
工程一館,數位式,"15,445","11,071","11,113","13,518","13,924","18,866","18,879","24,187","21,985","21,407","17,533","13,251","201,179","16,765"
工程二館,數位式,"27,477","22,615","22,192","27,349","28,872","38,389","42,286","46,357","38,671","41,189","36,444","30,750","402,591","33,549"
科學一館,數位式,"41,789","32,531","33,567","41,579","43,484","60,778","63,773","71,123","60,744","64,274","53,500","43,198","610,340","50,862"
科學二館,數位式,"139,303","116,081","118,776","149,403","140,707","186,947","169,337","195,547","172,407","157,061","157,677","133,186","1,836,432","153,036"
管理一館,數位式,"24,558","18,045","17,145","22,386","23,619","31,251","29,843","30,626","23,571","31,081","28,334","25,321","305,780","25,482"
九舍,數位式,"36,225","26,232","26,010","35,776","43,337","62,964","64,298","71,014","59,820","69,371","55,806","44,035","594,888","49,574"
十舍,數位式,"37,950","26,431","26,677","38,378","43,327","61,784","48,674","30,045","19,926","55,669","45,376","38,373","472,610","39,384"
研一舍.十一舍,數位式,"18,896","15,312","17,050","20,819","21,175","37,392","45,586","59,933","51,218","50,563","32,546","19,727","390,217","32,518"
竹軒,數位式,"18,989","12,993","13,695","19,443","21,125","32,324","25,447","15,752","10,370","34,554","26,533","21,431","252,656","21,055"
二餐,數位式,"71,644","51,682","55,832","70,800","72,515","96,326","98,591","115,676","105,814","105,124","92,763","72,727","1,009,494","84,125"
機車D棚,數位式,"18,999","17,240","16,106","18,912","15,797","19,128","17,095","20,771","17,746","17,592","19,101","18,640","217,127","18,094"
環保大樓,數位式,"46,273","37,271","34,339","44,114","40,636","63,666","67,926","80,993","68,900","66,961","60,783","54,747","666,609","55,551"
基礎大樓,數位式,"277,586","216,265","203,890","275,930","285,837","354,805","318,676","345,614","301,065","299,141","312,946","281,473","3,473,228","289,436"
游泳池,數位式,"78,389","67,302","78,355","93,753","66,252","73,087","67,815","78,611","68,841","67,498","77,235","76,893","894,031","74,503"
人社三館,數位式,"10,488","10,611","9,320","11,018","10,027","32,974","37,684","42,378",519,"34,378","29,069","25,958","254,424","21,202"
小計,,"1,510,688","1,172,771","1,174,388","1,509,259","1,512,375","2,084,047","1,961,623","2,222,959","1,955,040","1,982,020","1,849,600","1,224,065","20,158,835","1,679,903"
