北區受電室,北區總電錶,行政大樓,資訊館,中正堂,活動中心,電資大樓,體育館,田家炳大樓,污水場,人社一館,人社二館/新生館,工程一館,工程二館,科學一館,科學二館,管理一館,九舍,十舍,研一舍.十一舍,竹軒,二餐,機車D棚,環保大樓,基礎大樓,游泳池,人社三館,小計
錶號,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,數位式,
一月,"1,732,800",125,0,"28,747","63,727","181,882","36,771","302,900","1,202","21,832","19,979","15,445","27,477","41,789","139,303","24,558","36,225","37,950","18,896","18,989","71,644","18,999","46,273","277,586","78,389","10,488","1,510,688"
二月,"1,410,400",173,101,"16,317","42,707","142,621","24,206","242,706",748,"16,496","15,625","11,071","22,615","32,531","116,081","18,045","26,232","26,431","15,312","12,993","51,682","17,240","37,271","216,265","67,302","10,611","1,172,771"
三月,"1,321,600",404,0,"18,102","44,571","134,771","32,320","236,231",453,"16,998","15,791","11,113","22,192","33,567","118,776","17,145","26,010","26,677","17,050","13,695","55,832","16,106","34,339","203,890","78,355","9,320","1,174,388"
四月,"1,742,400",521,0,"24,271","54,111","175,464","34,788","305,318","1,283","21,115","20,228","13,518","27,349","41,579","149,403","22,386","35,776","38,378","20,819","19,443","70,800","18,912","44,114","275,930","93,753","11,018","1,509,259"
五月,"1,704,000","5,176",0,"23,209","55,982","196,791","32,001","295,226","1,345","22,709","19,329","13,924","28,872","43,484","140,707","23,619","43,337","43,327","21,175","21,125","72,515","15,797","40,636","285,837","66,252","10,027","1,512,375"
六月,"2,395,200","10,510","43,393","45,264","88,505","272,748","39,056","385,517","3,627","32,657","25,063","18,866","38,389","60,778","186,947","31,251","62,964","61,784","37,392","32,324","96,326","19,128","63,666","354,805","73,087","32,974","2,084,047"
七月,"2,027,200","13,276",0,"50,444","81,343","275,353","33,865","367,298","3,242","32,923","25,653","18,879","42,286","63,773","169,337","29,843","64,298","48,674","45,586","25,447","98,591","17,095","67,926","318,676","67,815","37,684","1,961,623"
八月,"2,301,600","2,832",0,"53,621","99,884","321,374","40,048","449,363","13,589","27,624","28,375","24,187","46,357","71,123","195,547","30,626","71,014","30,045","59,933","15,752","115,676","20,771","80,993","345,614","78,611","42,378","2,222,959"
九月,"2,419,200","39,814",0,"43,793","75,301","286,187","37,441","390,733","13,251","24,813","22,629","21,985","38,671","60,744","172,407","23,571","59,820","19,926","51,218","10,370","105,814","17,746","68,900","301,065","68,841",519,"1,955,040"
十月,"2,198,400","19,558",0,"45,342","81,621","268,089","44,824","371,786","13,571","29,835","25,909","21,407","41,189","64,274","157,061","31,081","69,371","55,669","50,563","34,554","105,124","17,592","66,961","299,141","67,498","34,378","1,982,020"
十一月,"2,043,200","15,522",0,"32,812","69,299","257,945","40,874","353,866","15,504","24,794","22,407","17,533","36,444","53,500","157,677","28,334","55,806","45,376","32,546","26,533","92,763","19,101","60,783","312,946","77,235","29,069","1,849,600"
十二月,"1,774,400","13,105",0,"26,200","59,574","205,248","35,330","317,123","15,418","18,717","17,964","13,251","30,750","43,198","133,186","25,321","44,035","38,373","19,727","21,431","72,727","18,640","54,747","281,473","76,893","25,958","1,224,065"
合計,"23,070,400","121,016","43,494","408,122","816,625","2,718,473","431,524","4,018,067","83,233","290,513","258,952","201,179","402,591","610,340","1,836,432","305,780","594,888","472,610","390,217","252,656","1,009,494","217,127","666,609","3,473,228","894,031","254,424","20,158,835"
平均,"1,922,533","10,085","3,625","34,010","68,052","226,539","35,960","334,839","6,936","24,209","21,579","16,765","33,549","50,862","153,036","25,482","49,574","39,384","32,518","21,055","84,125","18,094","55,551","289,436","74,503","21,202","1,679,903"
