餐廳,錶號,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,平均
一餐,數位式,"18,252","12,010","12,797","16,136","17,424","24,698","23,294","26,759","22,651","24,261","24,121","19,869","242,272","20,189"
二餐,數位式,"71,644","51,682","55,832","70,800","72,515","96,326","98,591","115,676","105,814","105,124","92,763","72,727","1,009,494","84,125"
二餐一營專用,,,,,,,,,,,,,,,
1樓7-11動力,數位式,"20,575","15,427","17,133","20,119","17,353","21,173","20,225","24,422","20,236","20,195","21,254","20,023","238,135","19,845"
1樓餐廳,數位式,"26,837","20,064","21,987","25,946","22,781","28,316","30,240","42,279","37,255","36,597","32,506","26,111","350,919","29,243"
1F燈力總表(燈力),數位式,"3,868","2,920","3,106","3,770","3,546","4,349","4,034","4,683","4,108","4,310","4,801","4,554","48,049","4,004"
2F燈力總錶,數位式,"7,802","4,298","5,578","7,651","7,517","8,794","7,944","6,115","9,126","8,880","8,961","8,477","91,143","7,595"
2F照明用電(220V),數位式,"3,329","1,798","2,436","3,337","3,143","3,565","3,203","2,546","2,220","2,563","3,056","3,260","34,456","2,871"
1F康城動力2(動力),數位式,"11,002","7,959","8,856","11,184","10,185","11,767","10,125","11,143","11,278","13,503","12,215","10,808","130,025","10,835"
2樓快餐部動力,數位式,"4,838","2,747","2,932","4,749","7,098","10,112","10,159","6,852","12,144","8,857","7,541","5,465","83,494","6,958"
2樓素食部動力,數位式,"3,822","2,880","3,057","3,550","5,714","8,842","9,003","9,696","8,778","9,901","8,302","5,616","79,161","6,597"
2樓水果部動力,數位式,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2樓快餐部燈力,數位式,"1,628","1,129","1,192","1,357","1,526","1,874","1,640","2,094","1,967","2,192","2,219","2,053","20,871","1,739"
2樓素食部燈力,數位式,"3,492","1,851","2,595","3,860","3,315","3,894","3,624","2,378","3,423","3,621","3,606","3,448","39,107","3,259"
2樓水果部燈力,數位式,"1,926","1,003","1,196","1,547","1,944","2,108","2,017","2,076","1,942","2,181","2,223","2,145","22,308","1,859"
3樓教員餐廳動力,數位式,"1,953","1,413","1,464","1,753","2,800","4,934","5,607","8,205","2,152",481,429,347,"31,538","2,628"
3樓員工餐廳動力,數位式,"2,832","2,127","2,239","2,736","2,766","5,395","7,169","10,045","8,797","8,799","5,160","3,001","61,066","5,089"
3樓教員餐廳燈力,數位式,"1,192",850,940,"1,076","1,081","1,319","1,262","1,776",415,118,123,133,"10,285",857
3樓員工餐廳燈力,數位式,"1,156",826,950,"1,138","1,004","1,102","1,053","1,393","1,130","1,134","1,102","1,196","13,184","1,099"
小計,,"186,148","130,984","144,290","180,709","181,712","238,568","239,190","278,138","253,436","252,717","230,382","189,233","2,505,507","208,792"
