時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/06/04 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,396.00
2017/06/04 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,398.00
2017/06/04 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.50
2017/06/04 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,379.00
2017/06/04 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,390.50
2017/06/04 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,378.00
2017/06/04 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,382.50
2017/06/04 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,391.50
2017/06/04 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.50
2017/06/04 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,392.00
2017/06/04 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,419.50
2017/06/04 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,414.50
2017/06/04 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,438.00
2017/06/04 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,447.00
2017/06/04 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,511.00
2017/06/04 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,476.00
2017/06/04 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,490.00
2017/06/04 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,469.00
2017/06/04 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,448.00
2017/06/04 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,426.00
2017/06/04 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,432.50
2017/06/04 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,409.50
2017/06/04 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,411.00
2017/06/04 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,412.00
2017/06/05 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,397.50
2017/06/05 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,393.50
2017/06/05 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,412.00
2017/06/05 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,393.00
2017/06/05 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,383.50
2017/06/05 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,394.50
2017/06/05 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,387.00
2017/06/05 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,388.00
2017/06/05 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,439.50
2017/06/05 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,468.00
2017/06/05 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,502.50
2017/06/05 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,525.50
2017/06/05 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,513.50
2017/06/05 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,512.00
2017/06/05 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,531.00
2017/06/05 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,567.00
2017/06/05 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,538.00
2017/06/05 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,525.00
2017/06/05 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,504.00
2017/06/05 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,508.00
2017/06/05 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,478.50
2017/06/05 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,472.50
2017/06/05 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,442.50
2017/06/05 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,422.00
2017/06/06 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,422.50
2017/06/06 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,417.00
2017/06/06 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,391.00
2017/06/06 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,401.50
2017/06/06 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,389.00
2017/06/06 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,379.50
2017/06/06 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,396.00
2017/06/06 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,399.00
2017/06/06 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,455.00
2017/06/06 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,536.00
2017/06/06 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,599.00
2017/06/06 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,598.00
2017/06/06 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,565.00
2017/06/06 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,579.00
2017/06/06 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,578.00
2017/06/06 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,603.00
2017/06/06 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,594.00
2017/06/06 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,570.00
2017/06/06 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,513.00
2017/06/06 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,493.00
2017/06/06 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,502.00
2017/06/06 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,483.00
2017/06/06 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,446.00
2017/06/06 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,429.00
2017/06/07 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,419.00
2017/06/07 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,397.00
2017/06/07 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,408.00
