,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,DayName,Time,Week
0,2018/03/12 00:00,N,EB1,main,edu,15.38,2018-03-12,1,Monday,00:00,11
1,2018/03/12 01:00,N,EB1,main,edu,15.63,2018-03-12,1,Monday,01:00,11
2,2018/03/12 02:00,N,EB1,main,edu,15.0,2018-03-12,1,Monday,02:00,11
3,2018/03/12 03:00,N,EB1,main,edu,15.0,2018-03-12,1,Monday,03:00,11
4,2018/03/12 04:00,N,EB1,main,edu,15.25,2018-03-12,1,Monday,04:00,11
5,2018/03/12 05:00,N,EB1,main,edu,15.25,2018-03-12,1,Monday,05:00,11
6,2018/03/12 06:00,N,EB1,main,edu,15.13,2018-03-12,1,Monday,06:00,11
7,2018/03/12 07:00,N,EB1,main,edu,17.88,2018-03-12,1,Monday,07:00,11
8,2018/03/12 08:00,N,EB1,main,edu,18.75,2018-03-12,1,Monday,08:00,11
9,2018/03/12 09:00,N,EB1,main,edu,24.25,2018-03-12,1,Monday,09:00,11
10,2018/03/12 10:00,N,EB1,main,edu,27.0,2018-03-12,1,Monday,10:00,11
11,2018/03/12 11:00,N,EB1,main,edu,26.63,2018-03-12,1,Monday,11:00,11
12,2018/03/12 12:00,N,EB1,main,edu,27.75,2018-03-12,1,Monday,12:00,11
13,2018/03/12 13:00,N,EB1,main,edu,29.88,2018-03-12,1,Monday,13:00,11
14,2018/03/12 14:00,N,EB1,main,edu,31.75,2018-03-12,1,Monday,14:00,11
15,2018/03/12 15:00,N,EB1,main,edu,35.13,2018-03-12,1,Monday,15:00,11
16,2018/03/12 16:00,N,EB1,main,edu,34.13,2018-03-12,1,Monday,16:00,11
17,2018/03/12 17:00,N,EB1,main,edu,30.75,2018-03-12,1,Monday,17:00,11
18,2018/03/12 18:00,N,EB1,main,edu,29.5,2018-03-12,1,Monday,18:00,11
19,2018/03/12 19:00,N,EB1,main,edu,24.25,2018-03-12,1,Monday,19:00,11
20,2018/03/12 20:00,N,EB1,main,edu,23.63,2018-03-12,1,Monday,20:00,11
21,2018/03/12 21:00,N,EB1,main,edu,20.63,2018-03-12,1,Monday,21:00,11
22,2018/03/12 22:00,N,EB1,main,edu,17.25,2018-03-12,1,Monday,22:00,11
23,2018/03/12 23:00,N,EB1,main,edu,16.25,2018-03-12,1,Monday,23:00,11
24,2018/03/13 00:00,N,EB1,main,edu,16.25,2018-03-13,2,Tuesday,00:00,11
25,2018/03/13 01:00,N,EB1,main,edu,16.13,2018-03-13,2,Tuesday,01:00,11
26,2018/03/13 02:00,N,EB1,main,edu,16.0,2018-03-13,2,Tuesday,02:00,11
27,2018/03/13 03:00,N,EB1,main,edu,15.63,2018-03-13,2,Tuesday,03:00,11
28,2018/03/13 04:00,N,EB1,main,edu,15.38,2018-03-13,2,Tuesday,04:00,11
29,2018/03/13 05:00,N,EB1,main,edu,15.13,2018-03-13,2,Tuesday,05:00,11
30,2018/03/13 06:00,N,EB1,main,edu,15.25,2018-03-13,2,Tuesday,06:00,11
31,2018/03/13 07:00,N,EB1,main,edu,17.0,2018-03-13,2,Tuesday,07:00,11
32,2018/03/13 08:00,N,EB1,main,edu,18.63,2018-03-13,2,Tuesday,08:00,11
33,2018/03/13 09:00,N,EB1,main,edu,27.5,2018-03-13,2,Tuesday,09:00,11
34,2018/03/13 10:00,N,EB1,main,edu,31.0,2018-03-13,2,Tuesday,10:00,11
35,2018/03/13 11:00,N,EB1,main,edu,33.63,2018-03-13,2,Tuesday,11:00,11
36,2018/03/13 12:00,N,EB1,main,edu,32.13,2018-03-13,2,Tuesday,12:00,11
